"Prioridad","Negocio","Rubro","País","Email público","Teléfono público","Enlace de contacto","Ciudad / zona","Continente","Idioma sugerido","Qué ofrecer (hipótesis)","Situación web","Observación y validación pendiente","Alcance de revisión","Fuente consultada el","Estado contacto","Último contacto","Próximo seguimiento","Notas de seguimiento","ID","Fuente pública principal","Fuente complementaria"
"Alta","Techmovil","Venta de celulares y computadoras","Costa Rica","—","+506 86438080","https://wa.me/50686438080","Curridabat","América","Español","Destacar productos y facilitar consultas desde el catálogo.","Web propia activa.","La página publica 8643-8080 y enlaza WhatsApp a ese mismo número. Presenta contactos y reseñas antes de productos. Ofrecer mayor visibilidad del catálogo.","Web oficial consultada","2026-09-23","No contactado","","","","GL-019","https://techmovilcr.com/","https://es.cybo.com/CR-biz/techmovil"
"Alta","Aranzazu Estudio","Cerámica / cursos","España","info.aranzazuestudio@gmail.com","+34 666 008 988","mailto:info.aranzazuestudio@gmail.com","Arroyomolinos","Europa","Español","Página de clases con consulta por nivel y horario.","Web propia consultada","La portada invita a consultar horarios y reservar por email o WhatsApp.","Página consultada","2026-09-23","No contactado","","","","GL-033","https://www.aranzazuestudio.com/",""
"Alta","Rehoboth Furniture & Construction","Muebles / carpintería","Ghana","info@rehobothfurnituregh.com","+233 55 4452796","mailto:info@rehobothfurnituregh.com","Accra","África","Inglés","Corregir teléfono de plantilla y ordenar consultas a medida.","Web propia consultada","La portada muestra +001 234 56 78 en bloques de contacto, además del teléfono comercial de Ghana.","Página consultada","2026-09-23","No contactado","","","","GL-050","https://rehobothfurnituregh.com/",""
"Alta","Centro de Eventos Las Morenas","Centro de eventos","Guatemala","—","+502 54942822","tel:+50254942822","San Sebastián, Retalhuleu","América","Español","Mejorar la página de salones y las consultas de fechas.","Página de eventos dentro de ASDESARROLLO.","Publica teléfono del coordinador y salones para 100 y 300 personas. Proponer consulta estructurada por fecha, invitados y tipo de evento.","Web oficial consultada","2026-09-23","No contactado","","","","GL-024","https://asdesarrollo.org/las-morenas/","https://es.cybo.com/GT/ciudad-de-guatemala/servicios-locales"
"Alta","PEXX / Poddar Exports","Textiles / exportación","India","info@poddarexp.com","No publicado","mailto:info@poddarexp.com","Jaipur","Asia","Inglés","Formulario que envíe la consulta sin depender del correo del visitante.","Web propia consultada","El formulario informa que prepara un mensaje en el cliente de email y pide enviarlo para completar la consulta.","Página consultada","2026-09-23","No contactado","","","","GL-054","https://www.poddarexp.com/contact.html",""
"Alta","Indopurejoy Surf Bali","Escuela de surf","Indonesia","indopurejoyhouse@gmail.com","+62 821 47220123","mailto:indopurejoyhouse@gmail.com","Kuta, Bali","Asia","Inglés","Unificar contactos y organizar consultas por nivel y fecha.","Web propia consultada","La página muestra info@surfbali.id y, en otra sección, info@surfbali.com; confirmar si ambos son correctos.","Página consultada","2026-09-23","No contactado","","","","GL-061","https://surfbali.id/contact-surf-bali/",""
"Alta","Riad Dess","Alojamiento / riad","Marruecos","contact.riaddess@gmail.com","+212 668 949415","mailto:contact.riaddess@gmail.com","Marrakech","África","Francés o inglés","Ampliar la página con fichas de habitaciones y consulta de fechas.","Web propia consultada","La página consultada presenta cinco habitaciones y contacto directo.","Página consultada","2026-09-23","No contactado","","","","GL-044","https://riaddess.com/en/",""
"Alta","Voon Clothing","Indumentaria / vestidos de novia","Nueva Zelanda","info@voon.co.nz","+64 4 8018292","mailto:info@voon.co.nz","Wellington","Oceanía","Inglés","Solicitud de prueba por servicio y fecha.","Web propia consultada","Los enlaces para pedir una prueba y enviar consultas usan email.","Página consultada","2026-09-23","No contactado","","","","GL-066","https://voon.co.nz/",""
"Alta","TLD Cycles","Taller de bicicletas","Reino Unido","tldcycles@gmail.com","+44 7500 169385","mailto:tldcycles@gmail.com","Bristol","Europa","Inglés","Solicitud de reparación con bicicleta, falla y fecha.","Web propia consultada","La web indica que no acceden al buzón del fijo; ofrece móvil, WhatsApp y email.","Página consultada","2026-09-23","No contactado","","","","GL-041","https://www.tldcycles.co.uk/",""
"Alta","Nautilus Cooking Class","Clases de cocina","Sri Lanka","nautiluscooking@gmail.com","+94 77 2449863","mailto:nautiluscooking@gmail.com","Unawatuna","Asia","Inglés","Página de experiencia y consulta de fechas y cupos.","Web propia consultada","La web describe visita al mercado y clase, con teléfono y correo de contacto.","Página consultada","2026-09-23","No contactado","","","","GL-058","https://nautiluscookingclass.com/",""
