"Prioridad","Negocio","Rubro","País","Email público","Teléfono público","Enlace de contacto","Ciudad / zona","Continente","Idioma sugerido","Primera web que ofrecer","Situación web","Evidencia y límites de revisión","Búsquedas realizadas","Revisado el","Estado contacto","Último contacto","Próximo seguimiento","Notas de seguimiento","ID","Fuente pública principal","Fuente complementaria"
"Alta","Vivero Los Margaritos","Vivero y jardinería","Argentina","coquito51@hotmail.es","+54 2244 475333","mailto:coquito51@hotmail.es","Las Flores, Buenos Aires","América","Español","Primera web con catálogo de plantas, ubicación y consultas por producto.","Sin web propia encontrada","La ficha remite a Facebook y no declara web. Las búsquedas por nombre y localidad devuelven directorios y el padrón de viveros, sin sitio propio. El padrón respalda la localidad; no demuestra por sí solo ausencia de web.","""Vivero Los Margaritos""; ""Vivero Los Margaritos"" ""Las Flores"" Facebook","2026-09-24","No contactado","","","","NW-001","https://ar.todosnegocios.com/vivero-los-margaritos-02244-47-5333","https://www.argentina.gob.ar/sites/default/files/padron_operadores_vigente.pdf"
"Alta","Vivero La Loma de El Torno","Vivero mayorista","Bolivia","—","+591 72139484","tel:+59172139484","El Torno, Santa Cruz","América","Español","Primera web con variedades, ventas mayoristas y formulario para cotizaciones.","Sin web propia encontrada","Directorio sin web declarada y con enlace a Facebook. Una nota de agosto de 2025 describe el vivero familiar. Las búsquedas de nombre y variante comercial no mostraron sitio propio. Facebook exige acceso y no pudo revisarse completo.","""Vivero la Loma de El Torno""; ""Vivero La Loma"" ""El Torno"" web","2026-09-24","No contactado","","","","NW-002","https://bo.todosnegocios.com/vivero-la-loma-de-el-torno-72139484","https://eldeber.com.bo/para-ellas/macarena-maldonado-y-su-terapia-con-las-plantas_526189"
"Alta","Gimnasio Club Free Sport","Gimnasio","Chile","gimnasio.freesport@gmail.com","+56 9 6271 7988","mailto:gimnasio.freesport@gmail.com","San Miguel, Santiago","América","Español","Primera web con actividades, horarios e inscripción mediante consulta.","Sin web propia encontrada","Dos directorios coinciden en negocio, zona y teléfono. La ficha remite a Facebook y no declara web propia. Búsquedas por nombre completo y teléfono no mostraron un sitio del gimnasio.","""Gimnasio Club Free Sport"" Chile; ""Free Sport"" ""6271""","2026-09-24","No contactado","","","","GL-007","https://cl.todosnegocios.com/gimnasio-club-free-sport-9-6271-7988","https://www.infostgo.cl/id/3099-gimnasio-club-free-sport"
"Alta","Taller DELAN Proyectos & Soluciones","Muebles y fabricación a medida","Ecuador","delanclear@gmail.com","+593 98 849 5371","mailto:delanclear@gmail.com","Guayaquil, Guayas","América","Español","Primera web con portfolio de muebles y formulario de presupuesto con medidas y fotos.","Sin web propia encontrada","La ficha declara Facebook e Instagram sin web propia. Cybo coincide en nombre, ciudad y teléfono. La búsqueda por nombre comercial y ciudad no mostró sitio propio.","""Taller DELAN"" Guayaquil; site:cr.todosnegocios.com ""No hay ningún sitio web"" ""taller""","2026-09-24","No contactado","","","","NW-004","https://ec.todosnegocios.com/taller-delan-proyectos-soluciones-098-849-5371","https://es.cybo.com/EC-c%C3%B3digo-postal/090206_guayaquil/tienda-de-hardware/"
"Alta","Peluquería Juan Pedro","Peluquería","España","—","+34 644 265 102","tel:+34644265102","Alcalá de Henares, Madrid","Europa","Español","Primera web con cortes, ubicación y llamada directa para pedir cita.","Sin web propia encontrada","TodosBiz no declara web y Fresha muestra una ficha con reserva por llamada. Ambos identifican el local de Turina 5. La búsqueda por nombre y localidad no mostró sitio propio; Fresha es una ficha de plataforma.","""Peluquería Juan Pedro"" ""Alcalá""; ""644265102""","2026-09-24","No contactado","","","","NW-006","https://www.todosbiz.es/peluquer%C3%ADa-juan-pedro_40-644-26-51-02","https://www.fresha.com/lvp/peluqueria-juan-pedro-calle-turina-alcala-de-henares-RvLGjy"
"Alta","Peluquería y Estética Unisex Laura","Peluquería y estética","España","laurapelu34@gmail.com","+34 667 014 499","mailto:laurapelu34@gmail.com","Ajofrín, Toledo","Europa","Español","Primera web con servicios de peluquería y estética, trabajos y solicitud de cita.","Sin web propia encontrada","El ayuntamiento publica teléfono y email del comercio. TodosBiz remite a Facebook, sin web. Búsquedas por nombre, localidad y email no mostraron sitio propio. La página municipal se publicó en 2017; los datos no se probaron por llamada.","""Peluqueria"" ""LAURA"" ""Ajofrín""; ""laurapelu34""","2026-09-24","No contactado","","","","NW-005","https://ajofrin.es/varios/","https://www.todosbiz.es/peluqueria-y-est-u-e-tica-unisex-laura-667-01-44-99"
"Alta","Costuras Citrus","Uniformes y confección","México","facturacion.citrus@hotmail.com","+52 33 1537 5347","tel:+523315375347","Guadalajara, Jalisco","América","Español","Primera web con modelos de uniformes, talles y pedido de presupuesto por cantidad.","Sin web propia encontrada","AllBiz declara Facebook, sin sitio propio. Otra guía identifica el taller. La búsqueda por nombre y ciudad no mostró web comercial. El correo publicado es de facturación: conviene usar el teléfono y pedir el canal comercial.","""Costuras Citrus"" Guadalajara; ""costuras citrus"" ""web""","2026-09-24","No contactado","","","","GL-017","https://www.allbiz.mx/costuras-citrus-33-1537-5347","https://talleresdecostura.com/jalisco/jalisco-guadalajara/"
"Alta","Lux Peluquería","Peluquería y estética","Uruguay","—","+598 92 505 057","https://wa.me/59892505057","Centro, Montevideo","América","Español","Primera web con servicios, galería y consultas de turnos por WhatsApp.","Sin web propia encontrada","Guía 1122 publica WhatsApp y servicios; TodosNegocios no declara web. La búsqueda por nombre y ciudad no encontró sitio propio. Los directorios difieren en la altura de San José: confirmar dirección al preparar la propuesta.","""Lux Peluquería"" Montevideo; site:uy.todosnegocios.com ""No hay ningún sitio web"" ""peluquería""","2026-09-24","No contactado","","","","NW-003","https://1122.com.uy/local/lux-peluqueria/LOC780000001","https://uy.todosnegocios.com/lux-peluquer%C3%ADa-092-505-057"
"Media","Uttara Exclusive Salon","Barbería y peluquería","Bangladesh","—","+880 1970 999780","tel:+8801970999780","Uttara, Dhaka","Asia","Inglés (confirmar; bengalí local)","Primera web con servicios, precios autorizados por el salón y consulta de turnos.","Sin web propia encontrada","La ficha no declara web. Una publicación reproducida del 15/05/2026 coincide en dirección y teléfono 01970-999780. Búsqueda por nombre sin sitio propio encontrado. El perfil de Facebook no pudo abrirse completo.","""Uttara Exclusive Salon""; site:bizsouthasia.com ""There is no website listed"" ""salon""","2026-09-24","No contactado","","","","NW-010","https://www.bizsouthasia.com/BD/uttara-exclusive-salon-01924-491873","https://www.beautynailhairsalons.com/BD/Dhaka/109465321814560/Uttara-exclusive-saloon"
"Media","Bodyworks By Brian J Hoffman","Chapa y pintura automotor","Canadá","—","+1 519 837 3170","tel:+15198373170","Guelph, Ontario","América","Inglés","Primera web con trabajos de carrocería, fotos y consultas para presupuestos.","Sin web propia encontrada","El directorio del condado y Yellow Pages coinciden en teléfono y actividad. Búsquedas por nombre y teléfono muestran fichas y reseñas, sin sitio propio encontrado.","""Bodyworks By Brian J Hoffman""; ""5198373170""","2026-09-24","No contactado","","","","GL-030","https://www.wellington.ca/business-development/business-directory/bodyworks-brian-j-hoffman","https://www.yellowpages.ca/bus/Ontario/Guelph/Bodyworks-By-Brian-J-Hoffman/212034.html"
"Media","Mike The Electrician Guy","Servicios eléctricos","Canadá","—","+1 647 568 4800","tel:+16475684800","Gran Toronto, Ontario","América","Inglés","Primera web con servicios eléctricos, zona de atención y solicitud de presupuesto.","Sin web propia encontrada","Yellow Pages y Canpages publican el mismo teléfono y servicio en Toronto. En las fichas y búsquedas revisadas no apareció un sitio propio. Se trata de evidencia pública de directorios; no hubo confirmación telefónica.","""Mike The Electrician Guy""; ""6475684800""","2026-09-24","No contactado","","","","GL-029","https://www.yellowpages.ca/bus/Canada/Mike-The-Electrician-Guy/104333267.html","https://www.canpages.ca/page/ON/mike-the-electrician-guy/104333267"
"Media","Bubblez Salon","Peluquería y belleza","India","bubblezsalon@gmail.com","+91 99207 85405","mailto:bubblezsalon@gmail.com","Vile Parle East, Mumbai","Asia","Inglés","Primera web con servicios de belleza, galería del salón y consultas de reserva.","Sin web propia encontrada","BharatiBiz remite a Facebook sin sitio web. AskLaila ubica Bubblez Hair and Beauty Salon en Vile Parle East. Búsquedas por nombre y email no mostraron sitio propio. Las fuentes se leyeron mediante el índice.","""Bubblez Salon"" Mumbai; ""bubblezsalon""","2026-09-24","No contactado","","","","NW-012","https://www.bharatibiz.com/en/bubblez-salon-099207-85405","https://www.asklaila.com/search/Mumbai/vile-parle-east/salons/"
"Media","Rafiq Florist","Florería","India","floristrafiq@gmail.com","+91 95273 12385","mailto:floristrafiq@gmail.com","Margao, Goa","Asia","Inglés","Primera web con ramos, decoración floral y solicitud de cotización.","Sin web propia encontrada","Ambas fichas remiten a Facebook, coinciden en teléfono y no declaran web propia. La búsqueda por nombre, Goa y email no encontró sitio propio. Se consultó contenido indexado; la apertura directa fue limitada.","""Rafiq Florist"" Goa; ""floristrafiq""","2026-09-24","No contactado","","","","NW-011","https://www.bharatibiz.com/en/rafiq-florist-095273-12385","https://happynew.day/vendor/rafiq-florist"
